8105,7447,6715,7154,7374,7740,8325,6056,7740,7300,8032,8032,7740,7154,7227,8325,6788,8325,7740,7740,7959,6861,8325,6935,7154,8325,8618,7740,7520,7813,7154,7959,6788,7593,8179,8105,7886,6422,8105,6349,
8032,7447,6642,6715,7227,7447,8032,6056,7520,7008,7813,7813,7520,6861,7008,7886,6642,8032,7447,7300,7813,6642,8179,6715,6788,7886,8398,7227,6861,7447,6788,7593,6642,7447,8032,8032,7447,6203,8032,6642,
8325,7520,6788,6861,7154,7447,8032,5983,7520,7227,7959,7959,7740,7154,7227,8105,6642,8105,7740,7374,7959,6788,8398,6788,6935,7959,8398,7374,7154,7740,6935,7740,6642,7447,8032,8105,7813,6056,7813,6276,7430.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-41438,-46121,-41804,-38437,-44072,-45829,-39828,-45243,-42828,-41804,-41072,-42316,-44511,-41584,-41365,-44438,-42901,-43853,-40633,-45682,-39901,-43560,-47805,-40999,-39169,-48390,-44365,-40267,-41804,-43194,-44877,-44072,-40706,-38437,-39974,-43340,-41657,-43267,-40194,-46560,
-39315,-43267,-38876,-35071,-40999,-42462,-36315,-41730,-39608,-39023,-38291,-39681,-41950,-39023,-38730,-41438,-40340,-40999,-38364,-42975,-37559,-40925,-44658,-38510,-36827,-45536,-41511,-37852,-39023,-40560,-42096,-41365,-37779,-35876,-37193,-40925,-39828,-41511,-37340,-43633,
-38584,-43194,-39023,-35730,-41365,-42828,-36827,-42096,-39901,-38876,-38071,-39096,-41438,-38876,-38657,-41584,-39974,-40779,-37486,-42243,-36827,-40340,-43926,-37925,-36315,-45170,-41218,-37559,-38803,-40047,-41657,-40925,-37705,-35217,-36900,-40852,-38437,-39389,-35803,-41950,
-39779,-44194,-39901,-36412.66667,-42145.33333,-43706.33333,-37656.66667,-43023,-40779,-39901,-39144.66667,-40364.33333,-42633,-39827.66667,-39584,-42486.66667,-41071.66667,-41877,-38827.66667,-43633.33333,-38095.66667,-41608.33333,-45463,-39144.66667,-37437,-46365.33333,-42364.66667,-38559.33333,-39876.66667,-41267,-42876.66667,-42120.66667,-38730,-36510,-38022.33333,-41705.66667,-39974,-41389,-37779,-44047.66667,-40757.11667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-38011,-42825,-38626,-35439,-41082,-42611,-36761,-42102,-39839,-38864,-37933,-39188,-41464,-38807,-38567,-41276,-39816,-40563,-37515,-42120,-37068,-40538,-44400,-38159,-36463,-45164,-41172,-37480,-38617,-40043,-41541,-40921,-37691,-35736,-37108,-40723,-39321,-40985,-38049,-43361,-39698.725
4264,3386,2955,3249,3149,3251,4284,1969,3506,3241,3927,3914,3394,3109,3241,3868,2755,3982,3742,3211,4026,2730,3804,2986,3164,3484,4262,3458,3165,3526,2761,3519,2775,3710,4235,3809,3665,2293,4257,2285,3407.775
-42275,-46211,-41581,-38688,-44231,-45862,-41045,-44071,-43345,-42105,-41860,-43102,-44858,-41916,-41808,-45144,-42571,-44545,-41257,-45331,-41094,-43268,-48204,-41145,-39627,-48648,-45434,-40938,-41782,-43569,-44302,-44440,-40466,-39446,-41343,-44532,-42986,-43278,-42306,-45646,-43106.5
0.980858469,1.072180974,0.964756381,0.897633411,1.026241299,1.064083527,0.952320186,1.022529002,1.005684455,0.976914153,0.971229698,1.000046404,1.040788863,0.972529002,0.970023202,1.047424594,0.987726218,1.033526682,0.957238979,1.051763341,0.953457077,1.003897912,1.118422274,0.954640371,0.919419954,1.128723898,1.054153132,0.949837587,0.969419954,1.010881671,1.027888631,1.031090487,0.938886311,0.915220418,0.959234339,1.033225058,0.997354988,1.00412993,0.981577726,1.059071926,1.000150812
98.08584687,107.2180974,96.47563805,89.76334107,102.6241299,106.4083527,95.23201856,102.2529002,100.5684455,97.69141531,97.12296984,100.0046404,104.0788863,97.25290023,97.00232019,104.7424594,98.77262181,103.3526682,95.72389791,105.1763341,95.34570766,100.3897912,111.8422274,95.46403712,91.94199536,112.8723898,105.4153132,94.9837587,96.94199536,101.0881671,102.7888631,103.1090487,93.88863109,91.52204176,95.92343387,103.3225058,99.73549884,100.412993,98.15777262,105.9071926,100.0150812
