8,465
8,465
8,463
8,463
8,465
8,465
8,463
8,465
8,467
8,466
8,465
8,465
8,467
8,463
8,463
8,462
8,463
8,463
8,459
8,461
8,454
8,454
8,454
8,454
8,452
8,454
9,457
9,457
9,458
9,450
10,441
11,449
11,458
11,471
13,469
13,474
13,465
13,452
14,450
15,458
15,461
16,454
16,458
17,462
17,469
17,465
19,470
19,466
19,467
19,467
19,467
20,459
21,462
22,454
23,457
23,459
23,445
24,441
25,445
25,461
26,459
27,458
27,461
27,461
27,461
27,463
27,462
27,463
27,465
27,469
27,467
27,465
27,467
27,463
28,458
29,462
29,455
29,443
30,441
30,440
30,439
31,440
30,441
31,442
31,440
31,440
31,439
31,440
31,439
30,440
31,441
30,438
31,439
31,440
31,440
30,440
31,440
31,442
31,441
31,441
30,440
31,440
31,441
31,448
32,454
32,457
33,454
33,444
33,440
34,439
35,442
35,449
35,459
36,461
37,462
37,449
37,439
37,436
38,432
38,432
39,438
39,449
39,451
39,459
39,458
39,458
39,458
39,459
39,458
39,458
39,454
39,455
39,455
39,455
39,455
39,455
40,455
40,454
41,462
41,452
41,445
42,443
42,441
43,428
43,423
44,416
44,414
44,415
44,417
45,421
45,434
46,448
47,450
47,459
47,463
47,466
47,455
48,446
49,424
49,417
49,416
49,411
50,406
50,403
50,406
50,408
51,423
52,426
52,422
52,422
52,423
52,423
52,421
52,421
52,423
52,422
52,422
52,422
52,421
52,422
52,422
53,431
53,444
54,444
55,448
55,451
55,442
56,439
57,441
57,434
58,427
58,425
59,428
59,431
59,424
60,418
60,420
60,423
61,428
62,420
62,420
62,422
63,429
63,442
64,442
64,443
65,450
65,455
65,449
65,448
67,448
67,451
67,448
67,442
68,436
68,436
68,438
69,439
69,431
69,428
69,428
69,431
69,429
69,429
69,429
69,429
69,428
69,428
69,421
70,415
70,417
71,424
72,428
72,426
73,429
73,436
73,428
74,427
74,426
75,435
75,445
75,440
76,440
76,444
76,442
76,438
76,436
76,427
76,421
76,423
77,421
77,421
77,420
77,421
77,420
77,418
77,420
77,421
77,420
77,421
77,420
77,420
77,422
77,421
77,420
77,421
77,421
77,421
